Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,487671,-,-,-,22.77,5.54,1,1371,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,13,45,1009,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,0,1002,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,15,995,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,30,985,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,14,45,975,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,0,962,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,15,946,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,30,926,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,15,45,915,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,0,888,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,15,853,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,30,812,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,16,45,755,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,0,686,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,15,595,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,30,469,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,17,45,262,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,18,0,0,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
